amount_in,amount_out,in_token,out_token,platform,timestamp,tx_hash,volume_usd,wallet,new_timestamp,latency,tim_in_sec,platform_encoded,price_out,price_change_pct,position_change,pl_pattern,consecutive_losses,consecutive_wins,hour,trade_freq,volume_spike,timesamp,time_diff,price_in,pnl,emotion,trigger_details
26226579.64,1.960396038,KAI,WSOL,pumpdotfun,2025-07-03 21:20:24,5fBPMghzTHMpB4C9Hauc8T5bcc7xvUj2gW6cd2yoA2ukiZcyqz5Y8k2CoDdKi7sp7LiEZLMRfgzABc5i5b9GokLA,299.9405938,DfMxre4cKmvogbLrPigxmibVTTQDuzjdXojWzjCXXhzj,2025-07-03 21:20:24,0 days 00:01:29,89,0,152.99999999285856,1562467020.0557916,10177238.622049222,-94.20904840000003,1.0,1.0,2025-07-03 21:00:00,23,False,2025-07-03 21:20:24,1.4833333333333334,1.1436512039203904e-05,-1.6443059806600713e-06,greed,"After win: 356.67, pos change: 10177238.62"
8345322.235,0.980198018,KAI,WSOL,pumpdotfun,2025-07-03 21:20:27,4sJMrxM3WZuDQK2kCh6xHwd5LiLJrxBnHkWnoJDjVbUuWKoL7kGUJBaeUqMzj6jL37H1ZDj12Yr4WPkmSi3Seteb,149.9702968,DfMxre4cKmvogbLrPigxmibVTTQDuzjdXojWzjCXXhzj,2025-07-03 21:20:27,0 days 00:00:03,3,0,153.0000000469293,3.534035286634207e-08,-0.6817990622661309,-149.970297,2.0,1.0,2025-07-03 21:00:00,23,False,2025-07-03 21:20:27,0.05,1.7970581911268763e-05,152.99998202227664,revenge,"After loss: -94.21, latency: 0 days 00:00:03"
2.309145164,34571901.87,WSOL,KAI,pumpdotfun,2025-07-03 21:20:38,SMsC63mSyK76nmfquaHrVVja1JESrS928V4mDop7ff9b4eTXAoy4RWDQsDwvQWdY7iYm8iZ5VGQuYz3KowW2ZnY,353.2992101,DfMxre4cKmvogbLrPigxmibVTTQDuzjdXojWzjCXXhzj,2025-07-03 21:20:38,0 days 00:00:11,11,0,1.0219258732959026e-05,-99.99999332074593,-0.9999997233006589,203.32891329999998,2.0,1.0,2025-07-03 21:00:00,23,False,2025-07-03 21:20:38,0.18333333333333332,153.0000000034645,4.34648086411471e-08,revenge,"After loss: -149.97, latency: 0 days 00:00:11"
6.88391572,44147075.17,WSOL,Birdjak,pumpswap,2025-07-03 21:24:36,3gYzVyhLgPbnS7SnkucuLD7WoiaXPhjcXT6AEEq9c27AR3Qcz6FFUTEYkyXVo2XGGnroXHf3eRrpt8sNvLm51Yas,1053.239105,DfMxre4cKmvogbLrPigxmibVTTQDuzjdXojWzjCXXhzj,2025-07-03 21:24:36,0 days 00:03:58,238,1,2.3857505869737103e-05,133.4563248975405,1.9811532974719475,699.9398949000001,1.0,2.0,2025-07-03 21:00:00,23,True,2025-07-03 21:24:36,3.966666666666667,152.99999997675744,-152.9999897574987,fomo,"Price spike: 133.46%, latency: 0 days 00:03:58"
44242772.23,1.470297028,FARTLON,WSOL,pumpdotfun,2025-07-03 21:25:54,5aGszT5uUdRsH1pSszQjyFQRtqbvnSUv3HHJHzpFxeGfVvXi7S6z182eE9u3BQhYQsKpUHw6GftNwd6RaCE3141N,224.9554453,DfMxre4cKmvogbLrPigxmibVTTQDuzjdXojWzjCXXhzj,2025-07-03 21:25:54,0 days 00:01:18,78,0,153.00000001088216,641307507.116469,6426976.614130348,-828.2836597,1.0,2.0,2025-07-03 21:00:00,23,False,2025-07-03 21:25:54,1.3,5.084569387527279e-06,1.8772936482209822e-05,greed,"After win: 699.94, pos change: 6426976.61"
2.629176,44242772.23,WSOL,FARTLON,pumpdotfun,2025-07-03 21:26:06,429aUXo3dFXJ4nmyBXjWSrCxBFZcZgoDGkuxNL2eoARJa1HXwqVzDc3ZVZSE9BajkiCRuDE7Sb4ndx6vyWH4Pi2e,402.263928,DfMxre4cKmvogbLrPigxmibVTTQDuzjdXojWzjCXXhzj,2025-07-03 21:26:06,0 days 00:00:12,12,0,9.09219535133999e-06,-99.99999405738866,-0.9999999405738866,177.3084827,1.0,2.0,2025-07-03 21:00:00,23,True,2025-07-03 21:26:06,0.2,153.0,1.0882160950131947e-08,revenge,"After loss: -828.28, latency: 0 days 00:00:12"
45510051.82,1.485,turt,WSOL,raydium_launchlab,2025-07-03 21:39:08,5e7iRuGhHvX5moEe9dhS29oyuCjiiTaYhRkH7ZnCTtLZed7ivQCXC8kSQ82Y4Af7ptr4wNkPPVRGTbdAynKPXX26,226.89315,DfMxre4cKmvogbLrPigxmibVTTQDuzjdXojWzjCXXhzj,2025-07-03 21:39:08,0 days 00:13:02,782,3,152.79,1680452135.086239,17309624.456797108,-175.37077800000003,2.0,1.0,2025-07-03 21:00:00,23,False,2025-07-03 21:39:08,13.033333333333333,4.9855612315582725e-06,4.106634119781718e-06,greed,"After win: 177.31, pos change: 17309624.46"
2.644778307,45510051.82,WSOL,turt,raydium_launchlab,2025-07-03 21:39:42,2j8doDcg3fxKcT1QANHrvZj2fabJXAuNiNgvf6VsyMaYP27FdbcKGS9AS87hij2Cdzvo3sMooCZtRw6kLBvbJnX1,404.0956775,DfMxre4cKmvogbLrPigxmibVTTQDuzjdXojWzjCXXhzj,2025-07-03 21:39:42,0 days 00:00:34,34,3,8.87926208254535e-06,-99.99999418858427,-0.9999999418858427,177.20252750000003,1.0,2.0,2025-07-03 21:00:00,23,True,2025-07-03 21:39:42,0.5666666666666667,152.78999998996892,1.0031072861238499e-08,revenge,"After loss: -175.37, latency: 0 days 00:00:34"
2423445.129,0.99,TOPBLAST,WSOL,raydium,2025-07-03 21:41:20,4Fukxe34c6bAgj8BJg3USzfARwu68wgiCypQiCfYUVuvNYbGLPVYzsTjyLEtxA6AGBKST9f4BG4RhJ35JZySyJ8x,151.2225,DfMxre4cKmvogbLrPigxmibVTTQDuzjdXojWzjCXXhzj,2025-07-03 21:41:20,0 days 00:01:38,98,2,152.75,1720300512.5956395,916312.1452590215,-252.87317750000003,2.0,1.0,2025-07-03 21:00:00,23,False,2025-07-03 21:41:20,1.6333333333333333,6.239980356493559e-05,-5.352054148239024e-05,greed,"After win: 177.20, pos change: 916312.15"
65653603.52,1.98,Nia,WSOL,raydium_launchlab,2025-07-03 21:51:46,394kobDSKNkhWyef4aNiSP48rpxSkZgeaAGFVznk6FUUABRsneyidktyxXfSSLzB7qt85E4BpA67M4K97MpxysBt,302.3658,DfMxre4cKmvogbLrPigxmibVTTQDuzjdXojWzjCXXhzj,2025-07-03 21:51:46,0 days 00:10:26,626,3,152.70999999999998,-0.026186579378084662,26.0910212632258,151.14329999999998,1.0,2.0,2025-07-03 21:00:00,23,False,2025-07-03 21:51:46,10.433333333333334,4.605471501772032e-06,152.7499953945285,neutral,
5.035860559,65653603.52,WSOL,Nia,raydium_launchlab,2025-07-03 21:51:50,5nhSRXshLV6JDUMn4YSeo5cHXhpNSMPBLYC6QeRG7UsJktgLpPXZ9vFscTDL7qjDH5JxzEggJmW8UBrHraQjEhCZ,769.026266,DfMxre4cKmvogbLrPigxmibVTTQDuzjdXojWzjCXXhzj,2025-07-03 21:51:50,0 days 00:00:04,4,3,1.171339004668239e-05,-99.99999232965095,-0.9999999232965094,466.660466,1.0,2.0,2025-07-03 21:00:00,23,True,2025-07-03 21:51:50,0.06666666666666667,152.710000006972,-6.9720158535346854e-09,neutral,
39839047.73,1.98,Nia,WSOL,raydium_launchlab,2025-07-03 21:51:59,7n5oz8zKnGhuTcrn29WeX5rFAtSiLtU2YUpzzoKnVG8Fd8ykfJKwXLwRJk637zRaDMu4SkxkfPxoWsEXuCpc2oh,302.3658,DfMxre4cKmvogbLrPigxmibVTTQDuzjdXojWzjCXXhzj,2025-07-03 21:51:59,0 days 00:00:09,9,3,152.70999999999998,1303721533.0318685,7911069.464173271,-466.660466,1.0,2.0,2025-07-03 21:00:00,23,False,2025-07-03 21:51:59,0.15,7.589684423413301e-06,4.1237056232690886e-06,greed,"After win: 466.66, pos change: 7911069.46"
